dataset	member	kind	field	status
.nhtsa_flat	CMPL_layout.txt	(file)		used:列定義。ヘッダ無しファイルの読み方
.nhtsa_flat	CMPL_layout.txt	field	(free text)	used:列定義。ヘッダ無しファイルの読み方
.nhtsa_flat	FLAT_CMPL.txt	(file)		used
.nhtsa_flat	FLAT_CMPL.txt	field	(headerless, 51 tab-separated columns; see the accompanying layout file)	used:苦情本文と部品名(docs/185, 187)
.nhtsa_flat	FLAT_CMPL.zip!FLAT_CMPL.txt	(member)		used:苦情本文と部品名(docs/185, 187)
.nhtsa_flat	FLAT_RCL.zip	(archive)	(unreadable)	unused:296バイトのスタブ。中身が無い
.nhtsa_flat	FLAT_RCL_POST_#.txt	(file)		used:リコールの是正文・対象台数(docs/190, 191)
.nhtsa_flat	FLAT_RCL_POST_#.txt	field	(headerless, 29 tab-separated columns; see the accompanying layout file)	used:リコールの是正文・対象台数(docs/190, 191)
.nhtsa_flat	FLAT_RCL_POST_2010.zip!FLAT_RCL_POST_#.txt	(member)		used:リコールの是正文・対象台数(docs/190, 191)
.nhtsa_flat	RCL_layout.txt	(file)		used:列定義。ヘッダ無しファイルの読み方
.nhtsa_flat	RCL_layout.txt	field	(free text)	used:列定義。ヘッダ無しファイルの読み方
.nhtsa_flat	cohort_monthly.tsv	(file)		used
.nhtsa_flat	cohort_monthly.tsv	field	make	used
.nhtsa_flat	cohort_monthly.tsv	field	model	used
.nhtsa_flat	cohort_monthly.tsv	field	year	used
.nhtsa_flat	cohort_monthly.tsv	field	ym	used:本Repoが生成した中間ファイル
.nhtsa_flat	cohort_monthly.tsv	field	total	used
.nhtsa_flat	cohort_monthly.tsv	field	steer	used
.nhtsa_flat	cohort_monthly.tsv	field	assist	used
.nhtsa_cache	chevrolet_silverado#_#.json	(file)		used:車種別苦情のAPIキャッシュ
.nhtsa_cache	ford_fusion_#.json	(file)		used:車種別苦情のAPIキャッシュ
.dvsa_mot	cache_eps_tests.txt	(file)		used
.dvsa_mot	cache_eps_tests.txt	field	(free text)	used:本Repoが生成した中間ファイル
.dvsa_mot	cache_steer_tests.txt	(file)		used
.dvsa_mot	cache_steer_tests.txt	field	(free text)	used:本Repoが生成した中間ファイル
.dvsa_mot	dft_test_item_extracts_2024.zip!dft_test_item_extract_#.csv	(member)		used:車両別の不合格理由(docs/150)
.dvsa_mot	dft_test_item_extracts_2025.zip!dft_test_item_extract_#.csv	(member)		used:車両別の不合格理由(docs/150)
.dvsa_mot	dft_test_result_extracts_2024.zip!dft_test_result_extract_#.csv	(member)		used:車両ID・車齢・検査結果(docs/150)
.dvsa_mot	dft_test_result_extracts_2025.zip!dft_test_result_extract_#.csv	(member)		used:車両ID・車齢・検査結果(docs/150)
.dvsa_mot	item_detail.csv	(file)		used
.dvsa_mot	item_detail.csv	field	rfr_id	used
.dvsa_mot	item_detail.csv	field	test_class_id	used
.dvsa_mot	item_detail.csv	field	test_item_id	used
.dvsa_mot	item_detail.csv	field	minor_item	used:不合格理由コードの説明とadvisory対
.dvsa_mot	item_detail.csv	field	rfr_deficiency_category	used:不合格理由コードの説明とadvisory対
.dvsa_mot	item_detail.csv	field	rfr_desc	used
.dvsa_mot	item_detail.csv	field	rfr_loc_marker	used:不合格理由コードの説明とadvisory対
.dvsa_mot	item_detail.csv	field	rfr_insp_manual_desc	used
.dvsa_mot	item_detail.csv	field	rfr_advisory_text	used:不合格理由コードの説明とadvisory対
.dvsa_mot	item_detail.csv	field	test_item_set_section_id	used:不合格理由コードの説明とadvisory対
.dvsa_mot	item_group.csv	(file)		used
.dvsa_mot	item_group.csv	field	test_item_id	used
.dvsa_mot	item_group.csv	field	test_class_id	used
.dvsa_mot	item_group.csv	field	parent_id	used
.dvsa_mot	item_group.csv	field	test_item_set_section_id	used:項目の親子関係(操舵系の抽出)
.dvsa_mot	item_group.csv	field	item_name	used
.jp_mlit	quarter_r#_#.pdf	(file)		unused:日本のリコール情報。分母が公開されておらず率が出せない(docs/149)
.jp_mlit	r#recallbunseki.pdf	(file)		unused:日本のリコール情報。分母が公開されておらず率が出せない(docs/149)
.jp_mlit	r#-defects.pdf	(file)		unused:日本のリコール情報。分母が公開されておらず率が出せない(docs/149)
.pmsm_fault	1.0kW.zip!#W_#.#_current_intercoil.tdms	(member)		used:3機体×2故障種×2チャネルを全て読む(docs/205)
